epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1234.04,0.62489,0.39753,0.97623,0.98628,0.89597,0.98366,0.70747,1.24015,0.44891,1.49429,0.00036145,0.00036145,0.00036145
131,1244.29,0.59053,0.39626,0.94593,0.91319,0.98563,0.98471,0.68427,1.28611,0.47759,1.47934,0.0003565,0.0003565,0.0003565
132,1254.56,0.5783,0.37974,0.93992,0.98313,0.90112,0.97107,0.70066,1.28311,0.53086,1.52861,0.00035155,0.00035155,0.00035155
133,1264.8,0.58947,0.3971,0.94487,0.95681,0.95991,0.99002,0.67658,1.2306,0.46284,1.4916,0.0003466,0.0003466,0.0003466
134,1274.94,0.60605,0.39572,0.96117,0.94727,0.99143,0.98125,0.69968,1.22143,0.46482,1.41642,0.00034165,0.00034165,0.00034165
135,1285.22,0.59463,0.38956,0.94842,0.938,0.94582,0.97957,0.70683,1.27167,0.50809,1.5196,0.0003367,0.0003367,0.0003367
136,1295.6,0.60475,0.4014,0.95105,0.94253,0.94751,0.97952,0.69232,1.28684,0.46272,1.50293,0.00033175,0.00033175,0.00033175
137,1305.93,0.60822,0.39544,0.95653,0.94818,0.98841,0.98738,0.71805,1.2653,0.46338,1.50308,0.0003268,0.0003268,0.0003268
138,1316.28,0.59486,0.38307,0.93576,0.93795,0.94994,0.97707,0.70467,1.23679,0.47718,1.47714,0.00032185,0.00032185,0.00032185
139,1326.53,0.58663,0.38182,0.93598,0.90815,0.98333,0.98163,0.73516,1.11642,0.49976,1.29215,0.0003169,0.0003169,0.0003169
140,1336.9,0.58015,0.38433,0.94339,0.9124,0.96165,0.97867,0.73012,1.16363,0.47673,1.3776,0.00031195,0.00031195,0.00031195
141,1347.25,0.57076,0.38781,0.93753,0.92936,0.95147,0.98381,0.72611,1.12628,0.54768,1.34178,0.000307,0.000307,0.000307
142,1357.56,0.58454,0.37932,0.95801,0.93956,0.97658,0.9786,0.72129,1.20446,0.4768,1.44262,0.00030205,0.00030205,0.00030205
143,1367.67,0.58224,0.36979,0.93748,0.94332,0.93894,0.97413,0.7126,1.25775,0.48304,1.50945,0.0002971,0.0002971,0.0002971
144,1376.42,0.56849,0.37262,0.93665,0.94325,0.97445,0.98249,0.70462,1.29156,0.49525,1.5905,0.00029215,0.00029215,0.00029215
145,1385.05,0.56811,0.37505,0.93847,0.98386,0.95021,0.99121,0.7221,1.18157,0.46008,1.52121,0.0002872,0.0002872,0.0002872
146,1393.94,0.57147,0.36814,0.9401,0.94359,0.94602,0.96965,0.69183,1.22618,0.51861,1.50592,0.00028225,0.00028225,0.00028225
147,1402.63,0.56916,0.367,0.9382,0.90719,0.97224,0.97151,0.71076,1.22551,0.50068,1.45488,0.0002773,0.0002773,0.0002773
148,1411.24,0.56601,0.36374,0.94836,0.95223,0.96935,0.97837,0.68933,1.21265,0.48418,1.50987,0.00027235,0.00027235,0.00027235
149,1420.05,0.58343,0.37529,0.94738,0.96688,0.95615,0.99295,0.71845,1.23371,0.45049,1.52963,0.0002674,0.0002674,0.0002674
150,1429.1,0.57782,0.36237,0.9475,0.90559,0.98039,0.97485,0.68152,1.19753,0.47598,1.41602,0.00026245,0.00026245,0.00026245
151,1438.21,0.5576,0.35779,0.92638,0.92215,0.9736,0.97625,0.69507,1.21874,0.5019,1.47769,0.0002575,0.0002575,0.0002575
152,1447.1,0.57752,0.36118,0.94127,0.9277,0.90041,0.94979,0.67879,1.28772,0.5016,1.61976,0.00025255,0.00025255,0.00025255
153,1455.95,0.55588,0.36479,0.92707,0.93256,0.94682,0.98108,0.69593,1.25064,0.47376,1.49632,0.0002476,0.0002476,0.0002476
